candidate,badness,range_violation_rate,voice_crossing_rate,large_leap_rate,strong_beat_dissonance_rate,parallel_fifths_octaves_rate,repetition_penalty,chord_diversity,cadence_score,pitch_histogram_distance
0.0,-0.06436933143880852,0.0,0.0,0.002631578947368421,0.1875,0.031578947368421054,0.0,0.6666666666666666,0.4,0.5965955808418932
1.0,-1.0707920584326618,0.0,0.0,0.0,0.22916666666666663,0.05263157894736842,0.0,0.6666666666666666,1.0,0.6463132047252329
2.0,-1.3044412958573517,0.0,0.0,0.002631578947368421,0.09722222222222221,0.031578947368421054,0.0,0.6875,1.0,0.7474958386455723
3.0,-0.819738223949797,0.0,0.0,0.002631578947368421,0.20833333333333337,0.10526315789473684,0.0,0.4583333333333333,1.0,0.674340723418624
4.0,-0.9067935204209658,0.0,0.0,0.002631578947368421,0.2152777777777778,0.10526315789473684,0.0,0.7083333333333334,1.0,0.6983965380585664
5.0,-1.0913036021742288,0.0,0.0,0.0,0.2222222222222222,0.021052631578947368,0.0,0.6979166666666666,1.0,0.7500523919778178
6.0,-0.026083914750907544,0.0,0.0,0.0,0.19444444444444442,0.05263157894736842,0.0,0.6875,0.4,0.5708824595180984
7.0,-0.965150360184837,0.0,0.0,0.0,0.17361111111111116,0.08421052631578947,0.0,0.6875,1.0,0.7787458386455722
8.0,-1.0635145817346192,0.0,0.0,0.0,0.13888888888888884,0.10526315789473684,0.0,0.6041666666666666,1.0,0.6450015001367259
9.0,-0.5298161369692214,0.0,0.0,0.002631578947368421,0.18055555555555558,0.2,0.0,0.6458333333333334,1.0,0.8293578396389656
10.0,-1.420415701014954,0.0,0.0,0.0,0.19444444444444442,0.06315789473684211,0.0,0.7291666666666666,1.0,0.365805059218964
11.0,-0.9269205961115492,0.0,0.0,0.0,0.13194444444444442,0.1368421052631579,0.0,0.5729166666666666,1.0,0.6851225325434215
12.0,-0.37107892586420665,0.0,0.0,0.0,0.1597222222222222,0.1368421052631579,0.0,0.4479166666666667,1.0,1.1229086472352086
13.0,-1.0104937519533184,0.0,0.0,0.002631578947368421,0.125,0.10526315789473684,0.0,0.5833333333333334,1.0,0.7127518620817695
14.0,-1.2292056489578547,0.0,0.0,0.0,0.1527777777777778,0.05263157894736842,0.0,0.6770833333333334,1.0,0.6458857253111512
15.0,-0.7776556239503454,0.0,0.0,0.0,0.26388888888888884,0.10526315789473684,0.0,0.65625,1.0,0.7069021245876663
16.0,-1.2146843922580701,0.0,0.0,0.0,0.19444444444444442,0.05263157894736842,0.0,0.6875,1.0,0.5822819820109356
17.0,-0.7514421874434773,0.0,0.0,0.0,0.125,0.11578947368421053,0.0,0.5104166666666666,1.0,0.9063977248372243
18.0,-1.0700028509551933,0.0,0.0,0.0,0.14583333333333337,0.042105263157894736,0.0,0.5625,1.0,0.7932646929044558
19.0,-1.2198516647293989,0.0,0.0,0.0,0.17361111111111116,0.08421052631578947,0.0,0.625,1.0,0.49279453410101043
20.0,-1.2366864628513696,0.0,0.0,0.002631578947368421,0.20138888888888884,0.042105263157894736,0.0,0.7604166666666666,1.0,0.6117967242831335
21.0,-1.1255865317840639,0.0,0.0,0.002631578947368421,0.1597222222222222,0.08421052631578947,0.0,0.5729166666666666,1.0,0.586164199210088
22.0,-0.3146873376615118,0.0,0.0,0.0,0.22916666666666663,0.07368421052631578,0.0,0.5,1.0,1.2559266974262076
23.0,0.46682312091941913,0.0,0.0,0.0,0.14583333333333337,0.10526315789473684,0.0,0.6041666666666666,0.4,0.9614503139018751
24.0,-1.36816571106203,0.0,0.0,0.0,0.06944444444444442,0.021052631578947368,0.0,0.6354166666666666,1.0,0.7474958386455725
25.0,-1.2205061224273388,0.0,0.0,0.005263157894736842,0.1527777777777778,0.07368421052631578,0.0,0.71875,1.0,0.6069975325434213
26.0,-0.9775209710304082,0.0,0.0,0.002631578947368421,0.11111111111111116,0.1368421052631579,0.0,0.59375,1.0,0.6839739120105273
27.0,-0.9246260784896891,0.0,0.0,0.0,0.11111111111111116,0.09473684210526316,0.0,0.5729166666666666,1.0,0.8553995063056322
28.0,-0.9923381110642409,0.0,0.0,0.0,0.16666666666666663,0.06315789473684211,0.0,0.5833333333333334,1.0,0.7765215380585664
29.0,-0.8653993608385979,0.0,0.0,0.0,0.17361111111111116,0.08421052631578947,0.0,0.6041666666666666,1.0,0.8368301713251445
